+-----------------------------+---------------+-----------------+-------------------+
|            title            | category_name | rental_duration | standard_quartile |
+-----------------------------+---------------+-----------------+-------------------+
| Ace Goldfinger              | Horror        |               3 |                 1 |
| Agent Truman                | Foreign       |               3 |                 1 |
| Alabama Devil               | Horror        |               3 |                 1 |
| Alone Trip                  | Music         |               3 |                 1 |
| American Circus             | Action        |               3 |                 1 |
| Anaconda Confessions        | Animation     |               3 |                 1 |
| Angels Life                 | New           |               3 |                 1 |
| Annie Identity              | Sci-Fi        |               3 |                 1 |
| Arizona Bang                | Classics      |               3 |                 1 |
| Autumn Crow                 | Games         |               3 |                 1 |
| Backlash Undefeated         | Children      |               3 |                 1 |
| Baked Cleopatra             | Family        |               3 |                 1 |
| Beast Hunchback             | Classics      |               3 |                 1 |
| Behavior Runaway            | Horror        |               3 |                 1 |
| Beverly Outlaw              | Sci-Fi        |               3 |                 1 |
| Bilko Anonymous             | Family        |               3 |                 1 |
| Blood Argonauts             | Family        |               3 |                 1 |
| Boulevard Mob               | New           |               3 |                 1 |
| Brotherhood Blanket         | Documentary   |               3 |                 1 |
| Butterfly Chocolat          | New           |               3 |                 1 |
| Cabin Flash                 | Children      |               4 |                 1 |
| Caddyshack Jedi             | Action        |               3 |                 1 |
| Calendar Gunfight           | Foreign       |               4 |                 1 |
| Camelot Vacation            | Sci-Fi        |               3 |                 1 |
| Caribbean Liberty           | Sports        |               3 |                 1 |
| Casper Dragonfly            | Children      |               3 |                 1 |
| Casualties Encino           | Action        |               3 |                 1 |
| Cause Date                  | Documentary   |               3 |                 1 |
| Chance Resurrection         | Sports        |               3 |                 1 |
| Charade Duffel              | Sci-Fi        |               3 |                 1 |
| Chicken Hellfighters        | Documentary   |               3 |                 1 |
| Clerks Angels               | Documentary   |               3 |                 1 |
| Clueless Bucket             | Action        |               4 |                 1 |
| Comforts Rush               | Travel        |               3 |                 1 |
| Confused Candles            | Family        |               3 |                 1 |
| Connecticut Tramp           | Sci-Fi        |               4 |                 1 |
| Conquerer Nuts              | Drama         |               4 |                 1 |
| Conspiracy Spirit           | Classics      |               4 |                 1 |
| Core Suit                   | Classics      |               3 |                 1 |
| Cowboy Doom                 | Foreign       |               3 |                 1 |
| Creatures Shakespeare       | Games         |               3 |                 1 |
| Crusade Honey               | Sports        |               4 |                 1 |
| Cupboard Sinners            | Documentary   |               4 |                 1 |
| Dances None                 | Action        |               3 |                 1 |
| Darko Dorado                | Action        |               3 |                 1 |
| Daughter Madigan            | Children      |               3 |                 1 |
| Day Unfaithful              | New           |               3 |                 1 |
| Destination Jerk            | Drama         |               3 |                 1 |
| Disciple Mother             | Travel        |               3 |                 1 |
| Divorce Shining             | Sports        |               3 |                 1 |
| Doom Dancing                | Comedy        |               4 |                 1 |
| Doors President             | Animation     |               3 |                 1 |
| Downhill Enough             | Comedy        |               3 |                 1 |
| Dragon Squad                | Action        |               4 |                 1 |
| Drumline Cyclone            | Travel        |               3 |                 1 |
| Dude Blindness              | Sports        |               3 |                 1 |
| Eagles Panky                | New           |               4 |                 1 |
| Earring Instinct            | Family        |               3 |                 1 |
| Egg Igby                    | Documentary   |               4 |                 1 |
| Egypt Tenenbaums            | Horror        |               3 |                 1 |
| English Bulworth            | Sci-Fi        |               3 |                 1 |
| Excitement Eve              | Action        |               3 |                 1 |
| Expendable Stallion         | Documentary   |               3 |                 1 |
| Fargo Gandhi                | Children      |               3 |                 1 |
| Feathers Metal              | Games         |               3 |                 1 |
| Ferris Mother               | Comedy        |               3 |                 1 |
| Fiction Christmas           | Foreign       |               4 |                 1 |
| Fight Jawbreaker            | Animation     |               3 |                 1 |
| Flash Wars                  | New           |               3 |                 1 |
| Flintstones Happiness       | Comedy        |               3 |                 1 |
| Fool Mockingbird            | Action        |               3 |                 1 |
| Forrest Sons                | Action        |               4 |                 1 |
| Fury Murder                 | Children      |               3 |                 1 |
| Gables Metropolis           | Family        |               3 |                 1 |
| Garden Island               | Sci-Fi        |               3 |                 1 |
| Glass Dying                 | Action        |               4 |                 1 |
| Go Purple                   | Music         |               3 |                 1 |
| Godfather Diary             | New           |               3 |                 1 |
| Goldfinger Sensibility      | Drama         |               3 |                 1 |
| Graffiti Love               | Sci-Fi        |               3 |                 1 |
| Grit Clockwork              | Games         |               3 |                 1 |
| Gunfighter Mussolini        | Sports        |               3 |                 1 |
| Harper Dying                | Animation     |               3 |                 1 |
| Heartbreakers Bright        | Children      |               3 |                 1 |
| Hellfighters Sierra         | Foreign       |               3 |                 1 |
| High Encino                 | Horror        |               3 |                 1 |
| Honey Ties                  | Sports        |               3 |                 1 |
| Hoosiers Birdcage           | Foreign       |               3 |                 1 |
| Horror Reign                | Travel        |               3 |                 1 |
| Human Graffiti              | Games         |               3 |                 1 |
| Hustler Party               | Comedy        |               3 |                 1 |
| Idaho Love                  | New           |               3 |                 1 |
| Image Princess              | Sports        |               3 |                 1 |
| Indian Love                 | Family        |               4 |                 1 |
| Innocent Usual              | Foreign       |               3 |                 1 |
| Insects Stone               | Animation     |               3 |                 1 |
| Intentions Empire           | Animation     |               3 |                 1 |
| Italian African             | Travel        |               3 |                 1 |
| Jeepers Wedding             | Classics      |               3 |                 1 |
| Jekyll Frogmen              | New           |               4 |                 1 |
| Jeopardy Encino             | Classics      |               3 |                 1 |
| Jericho Mulan               | Games         |               3 |                 1 |
| Jerk Paycheck               | Classics      |               3 |                 1 |
| Joon Northwest              | Sports        |               3 |                 1 |
| Jumanji Blade               | New           |               4 |                 1 |
| Kick Savannah               | Travel        |               3 |                 1 |
| King Evolution              | Family        |               3 |                 1 |
| Kissing Dolls               | Action        |               3 |                 1 |
| Kramer Chocolate            | Sports        |               3 |                 1 |
| Lesson Cleopatra            | Sports        |               3 |                 1 |
| Liberty Magnificent         | Sports        |               3 |                 1 |
| Loathing Legally            | Classics      |               4 |                 1 |
| Lola Agent                  | Horror        |               4 |                 1 |
| Lolita World                | Family        |               4 |                 1 |
| Lonely Elephant             | Comedy        |               3 |                 1 |
| Lose Inch                   | Foreign       |               3 |                 1 |
| Lovely Jingle               | Classics      |               3 |                 1 |
| Lover Truman                | Classics      |               3 |                 1 |
| Lust Lock                   | Action        |               3 |                 1 |
| Magic Mallrats              | Children      |               3 |                 1 |
| Magnificent Chitty          | Classics      |               3 |                 1 |
| Magnolia Forrester          | Action        |               4 |                 1 |
| Maiden Home                 | New           |               3 |                 1 |
| Mannequin Worst             | New           |               3 |                 1 |
| Meet Chocolate              | Foreign       |               3 |                 1 |
| Metropolis Coma             | Sci-Fi        |               4 |                 1 |
| Midnight Westward           | Action        |               3 |                 1 |
| Midsummer Groundhog         | Documentary   |               3 |                 1 |
| Minds Truman                | Action        |               3 |                 1 |
| Mine Titans                 | New           |               3 |                 1 |
| Minority Kiss               | Music         |               4 |                 1 |
| Miracle Virtual             | Animation     |               3 |                 1 |
| Mission Zoolander           | Animation     |               3 |                 1 |
| Model Fish                  | Children      |               4 |                 1 |
| Modern Dorado               | Documentary   |               3 |                 1 |
| Money Harold                | New           |               3 |                 1 |
| Mother Oleander             | Sports        |               3 |                 1 |
| Mummy Creatures             | Sports        |               3 |                 1 |
| Necklace Outbreak           | Drama         |               3 |                 1 |
| Neighbors Charade           | Sports        |               3 |                 1 |
| Newton Labyrinth            | Foreign       |               4 |                 1 |
| Nightmare Chill             | Games         |               3 |                 1 |
| None Spiking                | Sci-Fi        |               3 |                 1 |
| Novocaine Flight            | Sports        |               4 |                 1 |
| Orient Closer               | Drama         |               3 |                 1 |
| Outfield Massacre           | Music         |               4 |                 1 |
| Pacific Amistad             | Documentary   |               3 |                 1 |
| Packer Madigan              | Animation     |               3 |                 1 |
| Pajama Jawbreaker           | Classics      |               3 |                 1 |
| Panic Club                  | Horror        |               3 |                 1 |
| Papi Necklace               | Travel        |               3 |                 1 |
| Park Citizen                | Action        |               3 |                 1 |
| Paths Control               | Drama         |               3 |                 1 |
| Patton Interview            | Horror        |               4 |                 1 |
| Paycheck Wait               | Drama         |               4 |                 1 |
| Peach Innocent              | Sports        |               3 |                 1 |
| Pelican Comforts            | Documentary   |               4 |                 1 |
| Personal Ladybugs           | Music         |               3 |                 1 |
| Pet Haunting                | Foreign       |               3 |                 1 |
| Pickup Driving              | Sports        |               3 |                 1 |
| Potluck Mixed               | Animation     |               3 |                 1 |
| Princess Giant              | Documentary   |               3 |                 1 |
| Pure Runner                 | Comedy        |               3 |                 1 |
| Rage Games                  | Family        |               4 |                 1 |
| Range Moonwalker            | Family        |               3 |                 1 |
| Redemption Comforts         | New           |               3 |                 1 |
| Reign Gentlemen             | Sci-Fi        |               3 |                 1 |
| Reunion Witches             | Drama         |               3 |                 1 |
| Ridgemont Submarine         | New           |               3 |                 1 |
| Rocketeer Mother            | Foreign       |               3 |                 1 |
| Rouge Squad                 | Games         |               3 |                 1 |
| Run Pacific                 | New           |               3 |                 1 |
| Rush Goodfellas             | Family        |               3 |                 1 |
| Satisfaction Confidential   | Sports        |               3 |                 1 |
| Saturday Lambs              | Sports        |               3 |                 1 |
| Scarface Bang               | Children      |               3 |                 1 |
| Scorpion Apollo             | Drama         |               3 |                 1 |
| Sea Virgin                  | Drama         |               4 |                 1 |
| Searchers Wait              | Comedy        |               3 |                 1 |
| Secrets Paradise            | Family        |               3 |                 1 |
| Sense Greek                 | Sports        |               4 |                 1 |
| Show Lord                   | Documentary   |               3 |                 1 |
| Sierra Divide               | Sports        |               3 |                 1 |
| Simon North                 | Horror        |               3 |                 1 |
| Smile Earring               | Travel        |               4 |                 1 |
| Snowman Rollercoaster       | Animation     |               3 |                 1 |
| Something Duck              | Drama         |               4 |                 1 |
| Song Hedwig                 | Music         |               3 |                 1 |
| Sons Interview              | Animation     |               3 |                 1 |
| Spartacus Cheaper           | Family        |               4 |                 1 |
| Squad Fish                  | Sports        |               3 |                 1 |
